December,2015,Cavan,          -  ,          -  ,1,3,24,2,4,          -  ,48,10,5,          -  ,          -  ,5,3,1,44,          -  ,14,1,1,248,44,          -  ,1,47,1,          -  ,          -  ,20,          -  ,          -  ,          -  ,3,          -  ,          -  ,"8,205",          -  ,          -  ,188,          -  ,          -  ,15,3,3,135,5,4,30,6,4,8,3,19,1,                 -  ,1,71,                 -  ,45,1,                 -  ,                 -  ,1,                 -  ,1,1
January,2016,Cavan,                 -  ,15,10,21,1,                 -  ,1,"1,105",16,9,                 -  ,1,                 -  ,                 -  ,113,15,1,                 -  ,                 -  ,                 -  ,3,24,2,4,                 -  ,48,10,5,                 -  ,                 -  ,5,4,1,49,                 -  ,13,                 -  ,1,245,42,                 -  ,1,50,1,                 -  ,                 -  ,20,                 -  ,                 -  ,                 -  ,3,                 -  ,                 -  ,"8,265",                 -  ,                 -  ,195,                 -  ,                 -  ,15,3,3,137,5,4,28,6
February,2016,Cavan,4,                 -  ,                 -  ,                 -  ,                 -  ,8,4,22,1,                 -  ,1,70,                 -  ,44,1,                 -  ,                 -  ,1,                 -  ,1,1,                 -  ,15,10,21,1,                 -  ,1,"1,102",15,9,                 -  ,1,                 -  ,                 -  ,115,15,1,                 -  ,                 -  ,                 -  ,3,25,2,4,                 -  ,48,12,5,                 -  ,                 -  ,6,4,1,59,                 -  ,12,                 -  ,1,249,42,                 -  ,1,54,2,                 -  ,                 -  
March,2016,Cavan,22,                 -  ,                 -  ,                 -  ,3,                 -  ,                 -  ,"8,293",                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,204,                 -  ,                 -  ,15,3,3,132,5,3,28,6,4,                -  ,                -  ,                -  ,                -  ,8,4,21,1,                -  ,1,70,                -  ,45,1,                -  ,                -  ,1,                -  ,1,1,                -  ,15,11,20,1,                -  ,1,"1,089",15,9,                -  ,1,                -  ,                -  ,118,14,1,                -  ,                -  ,                -  ,3
April,2016,Cavan,25,2,4,                -  ,48,12,5,                -  ,                -  ,6,4,1,58,                -  ,                -  ,13,                -  ,1,252,40,                -  ,1,                -  ,52,2,                -  ,                -  ,23,                -  ,                -  ,                -  ,3,                -  ,                -  ,"8,269",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,205,                -  ,                -  ,15,3,3,134,5,3,28,6,5,1,1,                 -  ,1,7,4,22,1,                 -  ,1,69,                 -  ,47,1
May,2016,Cavan,                 -  ,                 -  ,1,                 -  ,1,1,                 -  ,19,16,11,1,                 -  ,1,"1,072",15,9,                 -  ,1,                 -  ,                 -  ,119,14,                 -  ,                 -  ,3,                 -  ,23,2,1,4,                 -  ,49,14,3,                 -  ,                 -  ,6,4,1,64,                 -  ,                 -  ,13,                 -  ,1,260,39,                 -  ,1,                 -  ,57,3,                 -  ,                 -  ,24,                 -  ,                 -  ,                 -  ,3,                 -  ,                 -  ,"8,246",                 -  ,                 -  ,                 -  ,                 -  ,                 -  
June,2016,Cavan,                 -  ,                 -  ,216,                 -  ,                 -  ,15,3,3,140,5,3,29,6,5,1,2,                -  ,2,8,4,20,1,                -  ,1,68,                -  ,45,1,                -  ,                -  ,                -  ,                -  ,1,1,                -  ,16,16,10,1,                -  ,1,"1,073",15,8,                -  ,1,                -  ,                -  ,123,15,                -  ,                -  ,3,                -  ,24,2,1,4,                -  ,48,14,3,                -  ,                -  ,6,4,1
July,2016,Cavan,69,                -  ,                -  ,13,                -  ,1,276,38,                -  ,1,                -  ,63,3,                -  ,                -  ,25,                -  ,                -  ,                -  ,3,                -  ,                -  ,"8,235",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,221,                -  ,                -  ,17,4,3,136,5,3,29,7,5,1,2,1,3,8,4,19,1,                 -  ,1,67,                 -  ,45,                 -  ,                 -  ,                 -  ,                 -  ,                 -  ,1,1,                 -  ,15,16,10,1
August,2016,Cavan,                 -  ,1,"1,077",15,8,                 -  ,1,                 -  ,                 -  ,127,14,                 -  ,                 -  ,3,                 -  ,24,2,1,4,                 -  ,46,15,3,                 -  ,                 -  ,6,5,1,71,                 -  ,         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2016,Cavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
